"Детские сады / Ясли"#"Детский сад №110, интеллектуального направления развития"#"Тимирязева, 33"#"61.405443608341 55.157430042833"
"Детские сады / Ясли"#"Детский сад №367, комбинированного вида"#"Эльтонская 2-я, 22Б"#"61.530974308984 55.168746038856"
"Детские сады / Ясли"#"Дошкольное отделение, Средняя общеобразовательная школа №15"#"Елькина, 80Б"#"61.397047932469 55.154424506059"
"Детские сады / Ясли"#"Детский сад №27"#"Вагнера, 91"#"61.423569931061 55.132001679569"
"Детские сады / Ясли"#"Детский сад №28, г. Копейск"#"Гастелло, 2а"#"61.608536762849 55.106972192537"
"Детские сады / Ясли"#"Детский сад №479, комбинированного вида"#"Салавата Юлаева, 1Б"#"61.278753028824 55.187866918839"
"Детские сады / Ясли"#"Детский сад №421, центр развития ребенка"#"Руставели, 4а"#"61.446213940845 55.139238521747"
"Детские сады / Ясли"#"Детский сад №395, комбинированного вида"#"Ворошилова, 53а"#"61.32394434218 55.181414508819"
"Детские сады / Ясли"#"Детский сад №383"#"Комсомольский проспект, 81в"#"61.311385696497 55.192472354037"
"Детские сады / Ясли"#"Детский сад №15, комбинированного вида для детей с тяжелыми нарушениями речи"#"Шаумяна, 73а"#"61.391894581238 55.140900623081"
"Детские сады / Ясли"#"Обыкновенное чудо, детский сад"#"Могильникова, 132"#"61.417524298313 55.165007362932"
"Детские сады / Ясли"#"Детский сад №3"#"50 лет ВЛКСМ, 13Б"#"61.38760005261 55.242823141334"
"Детские сады / Ясли"#"Детский сад №23, пос. Старокамышинск"#"Крымская (Старокамышинск), 5"#"61.528303377694 55.057579235782"
"Детские сады / Ясли"#"Детский сад №11, г. Копейск"#"Маяковского, 21"#"61.600232491506 55.109218061504"
"Детские сады / Ясли"#"Детский сад №17, г. Копейск"#"Ленина, 69а"#"61.620980763597 55.115954090086"
"Детские сады / Ясли"#"Детский сад №260, комбинированного вида"#"Елькина, 94а"#"61.396956909005 55.14871983157"
"Детские сады / Ясли"#"Детский сад №398, центр развития ребенка"#"Молодогвардейцев, 28"#"61.330979404768 55.197076845384"
"Детские сады / Ясли"#"Детский сад №263, комбинированного вида"#"Кирова, 5а"#"61.400908963031 55.181347983384"
"Детские сады / Ясли"#"Детский сад №463, центр развития ребенка"#"Пограничная, 19а"#"61.432660049105 55.142643613197"
"Детские сады / Ясли"#"Детский сад №404, художественно-эстетического направления развития"#"Каслинская, 19г"#"61.39743122047 55.188047239572"
"Детские сады / Ясли"#"Детский сад комбинированного вида №177"#"Лесопарковая, 3"#"61.365138205924 55.157631098421"
"Детские сады / Ясли"#"Детский сад №356, Солнышко, физкультурно-оздоровительного направления развития"#"Ворошилова, 33а"#"61.324240057891 55.192170757785"
"Детские сады / Ясли"#"Детский сад №394, Дюймовочка, художественно-эстетического направления развития"#"Комсомольский проспект, 68"#"61.324096449563 55.19566533592"
"Детские сады / Ясли"#"Детский сад №110, комбинированного вида"#"Верхнеуральская, 20а"#"61.376373759093 55.144529212303"
"Детские сады / Ясли"#"Детский сад №147, комбинированного вида"#"Могильникова, 212"#"61.419716059806 55.155459835286"
"Детские сады / Ясли"#"Детский сад №315, центр развития ребенка"#"Василевского, 77а"#"61.483196669332 55.101026652437"
"Детские сады / Ясли"#"Детский сад №342, комбинированного вида"#"Куйбышева, 31а"#"61.349481584787 55.196914605078"
"Детские сады / Ясли"#"Детский сад №390, Рябинушка, комбинированного вида"#"Пионерская (Курчатовский), 6а"#"61.344356797713 55.192595877066"
"Детские сады / Ясли"#"Детский сад №6, Солнышко, пос. Железнодорожный"#"Электровозная (Железнодорожный), 32"#"61.550557639928 55.098364422043"
"Детские сады / Ясли"#"Детский сад №31, Аленушка"#"Голубцова (Бажово), 11"#"61.603423300486 55.060330894237"
"Детские сады / Ясли"#"Детский сад №12, г. Копейск"#"Ленина, 78"#"61.622744342561 55.122496705395"
"Детские сады / Ясли"#"Детский сад №321, художественно-эстетического направления развития"#"Салютная, 15а"#"61.450600761265 55.17030700081"
"Детские сады / Ясли"#"Детский сад №256, интеллектуального направления развития"#"Трудовая, 5а"#"61.400370581899 55.266669415691"
"Детские сады / Ясли"#"Детский сад-ясли №93 присмотра и оздоровления"#"Образцова, 7"#"61.375933859145 55.145514088225"
"Детские сады / Ясли"#"Детский сад №352, комбинированного вида"#"Литовская, 8а"#"61.44366572396 55.131675490172"
"Детские сады / Ясли"#"Детский сад №106"#"3 Интернационала, 90а"#"61.420431713259 55.167364115264"
"Детские сады / Ясли"#"Детский сад №113, художественно-эстетического направления развития"#"Плеханова, 36а"#"61.408956700324 55.15568683799"
"Детские сады / Ясли"#"Детский сад №387, комбинированного вида"#"Батумская, 11"#"61.468480428701 55.119093061434"
"Детские сады / Ясли"#"Детский сад №414"#"Энергетиков (Ленинский), 1а"#"61.473190087125 55.125056857341"
"Детские сады / Ясли"#"Детский сад №336"#"Лермонтова пер, 2"#"61.452558371855 55.184365842144"
"Детские сады / Ясли"#"Детский сад №37"#"Белостоцкого, 7Б"#"61.44593949319 55.163265467457"
"Детские сады / Ясли"#"Детский сад №7, компенсирующего вида"#"Сони Кривой, 33а"#"61.391633497525 55.157176962622"
"Детские сады / Ясли"#"Детский сад №453, Дельфиненок, центр развития ребенка"#"Ереванская, 12"#"61.462643147533 55.114237042584"
"Детские сады / Ясли"#"Детский сад №400, компенсирующего вида"#"Агалакова, 31"#"61.441678545309 55.134904324036"
"Детские сады / Ясли"#"Детский сад №448, компенсирующего вида"#"Агалакова, 50а"#"61.447027118635 55.131876922368"
"Детские сады / Ясли"#"Детский сад №77, комбинированного вида"#"Марины Расковой, 44"#"61.368657244461 55.190108119382"
"Детские сады / Ясли"#"Детский сад №368, Росинка, комбинированного вида"#"Суркова, 22"#"61.459709420255 55.117184656089"
"Детские сады / Ясли"#"Детский сад №283, комбинированного вида для детей с тяжелыми нарушениями речи"#"Дзержинского, 7"#"61.468301665467 55.1208978048"
"Детские сады / Ясли"#"Детский сад №369, центр развития ребенка"#"Танкистов, 152Б"#"61.465978411653 55.166708462192"
"Детские сады / Ясли"#"Детский сад №320, комбинированного вида"#"Гагарина (Ленинский), 50Б"#"61.431436376762 55.123660310906"
"Детские сады / Ясли"#"Детский сад №10, комбинированного вида"#"Российская, 12а"#"61.408145426089 55.195512877988"
"Детские сады / Ясли"#"Детский сад №345, комбинированного вида"#"Витебская, 2а"#"61.374718025863 55.154376987603"
"Детские сады / Ясли"#"Детский сад №18, г. Копейск"#"Новосибирская, 23"#"61.653050211234 55.10376861873"
"Детские сады / Ясли"#"Детский сад №34, Золотой ключик, пос. Бажово"#"21 Партсъезда (Бажово), 3"#"61.598651040762 55.04842579974"
"Детские сады / Ясли"#"Детский сад №138, компенсирующего вида для детей с нарушениями зрения"#"Коммуны, 84а"#"61.385170124936 55.162897717416"
"Детские сады / Ясли"#"Детский сад №183"#"Электростальская, 21а"#"61.39478194909 55.25158067982"
"Детские сады / Ясли"#"Детский сад №300, комбинированного вида"#"Мамина, 19а"#"61.482892866223 55.192594606089"
"Детские сады / Ясли"#"Детский сад №52, Олимпиец, центр развития ребенка"#"Славы проспект, 21Б"#"61.61333968363 55.105780911685"
